VPOL.1	TPHA.1	TBLA.1	NDAI.1	NCAS.1	KNAG.1	KAFR.1	CGLA.1	SUVACBS7001.1	SMIKIFO1815.1	SCERREF.1	ANC	ZROU	TDEL	KLAC	EGOS	ECYM	LKLU	LTHE	LWAL	SCERREF.2	SMIKIFO1815.2	SUVACBS7001.2	CGLA.2	KAFR.2	KNAG.2	NCAS.2	NDAI.2	TBLA.2	TPHA.2	VPOL.2
VPOL_Kpol_1036.104	TPHA_TPHA0C02480	TBLA_TBLA0A04250	NDAI_NDAI0A01210	NCAS_NCAS0B03210	KNAG_KNAG0A04860	KAFR_KAFR0B06010	CGLA_CAGL0E00781g	SUVACBS7001_Suva_2.338	SMIKIFO1815_Smik_4.420	SCERREF_YDR172W	ANC_Anc_8.370	ZROU_ZYRO0F14520g	TDEL_TDEL0F04940	KLAC_KLLA0D17424g	EGOS_AGL145W	NA	LKLU_SAKL0H14432g	LTHE_KLTH0F09108g	LWAL_Kwal_23.3378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NCAS_NCAS0H03630	NA	NA	NA	SUVACBS7001_Suva_2.4	NA	SCERREF_YFL059W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NCAS_NCAS0H03640	NA	NA	NA	SUVACBS7001_Suva_2.3	NA	SCERREF_YFL060C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0A03399g	EGOS_ADR405C	ECYM_Ecym_5015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1024.25	TPHA_TPHA0C02470	TBLA_TBLA0H01030	NDAI_NDAI0A01200	NCAS_NCAS0B03200	KNAG_KNAG0A04850	KAFR_KAFR0B06020	CGLA_CAGL0E00759g	SUVACBS7001_Suva_2.339	SMIKIFO1815_Smik_4.421	SCERREF_YDR173C	ANC_Anc_8.371	ZROU_ZYRO0F14542g	TDEL_TDEL0F04950	KLAC_KLLA0D17402g	EGOS_AGL144C	ECYM_Ecym_4203	LKLU_SAKL0H14410g	LTHE_KLTH0F09086g	LWAL_Kwal_23.3373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0A04389g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0F19360g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0B10219g	EGOS_AGR353C	ECYM_Ecym_8180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LWAL_Kwal_26.7254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	SMIKIFO1815_Smik_15.377	SCERREF_YOR192C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1024.24	TPHA_TPHA0C02460	NA	NDAI_NDAI0A01190	NCAS_NCAS0B03190	KNAG_KNAG0A04840	KAFR_KAFR0B06030	CGLA_CAGL0E00737g	SUVACBS7001_Suva_2.340	SMIKIFO1815_Smik_4.422	SCERREF_YDR174W	ANC_Anc_8.372	ZROU_ZYRO0C03718g	TDEL_TDEL0F04960	KLAC_KLLA0D18029g	EGOS_AGL141W	ECYM_Ecym_4194	LKLU_SAKL0H14234g	LTHE_KLTH0F09020g	LWAL_Kwal_YGOB_HMO1	NA	NA	NA	NA	NA	NA	NA	NA	TBLA_TBLA0H01020	NA	NA
VPOL_Kpol_2002.12	TPHA_TPHA0E03970	TBLA_TBLA0A07560	NDAI_NDAI0A00180	NCAS_NCAS0B09070	KNAG_KNAG0C00260	KAFR_KAFR0D00180	CGLA_CAGL0B00418g	SUVACBS7001_Suva_3.156	SMIKIFO1815_Smik_3.18	SCERREF_YCL057W	ANC_Anc_1.9	ZROU_ZYRO0F18392g	NA	KLAC_KLLA0C00572g	EGOS_AGR406C	NA	LKLU_SAKL0C00550g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0E01035g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0C19019g	NA	NA	NA	NA	LWAL_Kwal_14.782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0C18700g	EGOS_ABR114C	ECYM_Ecym_6035	LKLU_SAKL0F16456g	LTHE_KLTH0E00484g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0F00264g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TBLA_TBLA0A05850	NA	NA	KNAG_KNAG0I00560	KAFR_KAFR0F01490	CGLA_CAGL0F02519g	SUVACBS7001_Suva_6.285	SMIKIFO1815_Smik_10.25	SCERREF_YJL206C	ANC_Anc_1.128	ZROU_ZYRO0C18150g	TDEL_TDEL0C05680	KLAC_KLLA0C03201g	NA	NA	LKLU_SAKL0C03938g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1030.13	TPHA_TPHA0L00830	TBLA_TBLA0H03110	NDAI_NDAI0A01180	NCAS_NCAS0B03180	KNAG_KNAG0A04830	KAFR_KAFR0B06040	CGLA_CAGL0E00715g	SUVACBS7001_Suva_2.341	SMIKIFO1815_Smik_4.423	SCERREF_YDR175C	ANC_Anc_8.373	ZROU_ZYRO0C03740g	TDEL_TDEL0F04970	KLAC_KLLA0D18051g	EGOS_AGL140C	ECYM_Ecym_4193	LKLU_SAKL0H14212g	LTHE_KLTH0F08998g	LWAL_Kwal_23.3356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TDEL_TDEL0G00200	NA	EGOS_ADL393W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LWAL_Kwal_55.19569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LWAL_Kwal_23.2794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	TPHA_TPHA0L00840	TBLA_TBLA0H03120	NDAI_NDAI0A01170	NCAS_NCAS0B03160	KNAG_KNAG0A04820	KAFR_KAFR0B06050	CGLA_CAGL0E00693g	SUVACBS7001_Suva_2.342	SMIKIFO1815_Smik_4.424	SCERREF_YDR176W	ANC_Anc_8.374	ZROU_ZYRO0C03762g	TDEL_TDEL0F04980	KLAC_KLLA0D18073g	EGOS_AGL139W	NA	LKLU_SAKL0H14190g	LTHE_KLTH0F08976g	LWAL_Kwal_23.3350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0E14015g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LWAL_Kwal_23.2829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0C17336g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	CGLA_CAGL0M11660g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1030.10	TPHA_TPHA0L00850	TBLA_TBLA0H03130	NDAI_NDAI0A01160	NCAS_NCAS0B03150	KNAG_KNAG0A04810	KAFR_KAFR0B06060	CGLA_CAGL0E00671g	SUVACBS7001_Suva_2.343	SMIKIFO1815_Smik_4.425	SCERREF_YDR177W	ANC_Anc_8.375	ZROU_ZYRO0C03784g	TDEL_TDEL0F04990	KLAC_KLLA0C18656g	EGOS_ADR169C	ECYM_Ecym_6038	LKLU_SAKL0A00396g	LTHE_KLTH0A07546g	LWAL_Kwal_23.6485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_15.83	SMIKIFO1815_Smik_15.76	SCERREF_YOL083W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EGOS_ADL362C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_5.322	SMIKIFO1815_Smik_7.4	SCERREF_YGL257C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_13.494	SMIKIFO1815_Smik_13.520	SCERREF_YMR303C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_15.156	SMIKIFO1815_Smik_15.154	SCERREF_YOL015W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1010.27	TPHA_TPHA0E00630	TBLA_TBLA0I00940	NDAI_NDAI0E04580	NCAS_NCAS0E02980	KNAG_KNAG0C04340	KAFR_KAFR0G01110	CGLA_CAGL0M09427g	SUVACBS7001_Suva_2.15	SMIKIFO1815_Smik_2.17	SCERREF_YBL102W	ANC_Anc_7.437	ZROU_ZYRO0F13200g	TDEL_TDEL0C03000	KLAC_KLLA0E06535g	EGOS_ADR066C	ECYM_Ecym_8084	LKLU_SAKL0F13552g	LTHE_KLTH0C05566g	LWAL_Kwal_27.10602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1024.21	TPHA_TPHA0C02440	TBLA_TBLA0H01000	NDAI_NDAI0A01150	NCAS_NCAS0B03140	KNAG_KNAG0A02750	KAFR_KAFR0B06070	CGLA_CAGL0F05863g	SUVACBS7001_Suva_2.344	SMIKIFO1815_Smik_4.426	SCERREF_YDR178W	ANC_Anc_8.377	ZROU_ZYRO0C03828g	TDEL_TDEL0F05010	KLAC_KLLA0D18117g	EGOS_AGL137W	ECYM_Ecym_4190	LKLU_SAKL0H14146g	LTHE_KLTH0F08932g	LWAL_Kwal_23.3343	SCERREF_YLR164W	SMIKIFO1815_Smik_12.226	SUVACBS7001_Suva_10.261	NA	KAFR_KAFR0H02020	KNAG_KNAG0A04800	NA	NA	NA	NA	NA
NA	NA	NA	NDAI_NDAI0A03350	NCAS_NCAS0A03510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EGOS_ABL196C	ECYM_Ecym_4022	LKLU_Sklu_YGOB_MFA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_495.9	TPHA_TPHA0C00420	TBLA_TBLA0J00750	NA	NCAS_NCAS0G00870	KNAG_KNAG0B03250	KAFR_KAFR0C05830	CGLA_CAGL0E04548g	NA	NA	SCERREF_YOR020W-A	ANC_Anc_5.606	ZROU_Zrou_YGOB_Anc_5.606	TDEL_TDEL0A04720	KLAC_KLLA0E09329g	EGOS_AAR108WA	ECYM_Ecym_5594	LKLU_SAKL0G06820g	LTHE_KLTH0G05566g	LWAL_Kwal_YGOB_Anc_5.606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1037.47	TPHA_TPHA0A04220	TBLA_TBLA0G02820	NDAI_NDAI0G01840	NCAS_NCAS0E01630	KNAG_KNAG0K01350	KAFR_KAFR0C00830	CGLA_CAGL0I04862g	NA	SMIKIFO1815_Smik_4.244	SCERREF_YDR011W	ANC_Anc_3.220	ZROU_ZYRO0A04114g	TDEL_TDEL0D04040	KLAC_KLLA0D03432g	EGOS_ABR125C	ECYM_Ecym_3604	LKLU_SAKL0C11616g	LTHE_KLTH0A01914g	LWAL_Kwal_23.5161	NA	NA	NA	NA	NA	NA	NA	NA	TBLA_TBLA0I01760	TPHA_TPHA0M00640	VPOL_Kpol_1036.28
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LTHE_KLTH0C09240g	LWAL_Kwal_56.22747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1024.20	TPHA_TPHA0C02430	TBLA_TBLA0H00990	NDAI_NDAI0A01140	NCAS_NCAS0B03130	KNAG_KNAG0A04790	KAFR_KAFR0B06080	CGLA_CAGL0F05841g	SUVACBS7001_Suva_2.345	SMIKIFO1815_Smik_4.427	SCERREF_YDR179C	ANC_Anc_8.378	ZROU_ZYRO0C03850g	TDEL_TDEL0F05020	KLAC_KLLA0D18139g	EGOS_AGL136C	ECYM_Ecym_4189	LKLU_SAKL0H14124g	LTHE_KLTH0F08910g	LWAL_Kwal_23.3341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SCERREF_YKL222C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_8.437	NA	SCERREF_YOR381W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SMIKIFO1815_Smik_15.562	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NCAS_NCAS0B02500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1030.9	TPHA_TPHA0L00860	TBLA_TBLA0H03140	NDAI_NDAI0A01130	NCAS_NCAS0B03120	KNAG_KNAG0A04780	KAFR_KAFR0B06090	CGLA_CAGL0F05819g	SUVACBS7001_Suva_2.346	SMIKIFO1815_Smik_4.428	SCERREF_YDR179W-A	ANC_Anc_8.379	ZROU_ZYRO0C03872g	TDEL_TDEL0F05030	KLAC_KLLA0D18161g	EGOS_AGL135W	ECYM_Ecym_4188	LKLU_SAKL0H14102g	LTHE_KLTH0F08888g	LWAL_Kwal_23.3339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_9.224	SMIKIFO1815_Smik_9.213	SCERREF_YIR013C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_10.93	SMIKIFO1815_Smik_12.76	SCERREF_YLR013W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EGOS_AFR228W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_YGOB_Anc_3.267	TPHA_TPHA0M01065	TBLA_TBLA0I01905	NDAI_NDAI0A05740	NCAS_NCAS0I01640	NA	KAFR_KAFR0A01015	NA	SUVACBS7001_Suva_2.192	SMIKIFO1815_Smik_4.273	SCERREF_YDR034W-B	ANC_Anc_3.267	NA	TDEL_TDEL0D03580	KLAC_KLLA0F18766g	NA	NA	LKLU_Sklu_YGOB_YBR056W-A	NA	NA	SCERREF_YBR056W-A	SMIKIFO1815_Smik_2.187	SUVACBS7001_Suva_4.293	NA	NA	NA	NA	NA	TBLA_TBLA0E02545	NA	NA
NA	NA	NA	NA	NA	NA	NA	CGLA_CAGL0F00209g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	CGLA_CAGL0G10219g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1030.7	TPHA_TPHA0L00880	TBLA_TBLA0H03160	NDAI_NDAI0A01120	NCAS_NCAS0B03110	KNAG_KNAG0A04770	KAFR_KAFR0B06100	CGLA_CAGL0F05797g	SUVACBS7001_Suva_2.347	SMIKIFO1815_Smik_4.429	SCERREF_YDR180W	ANC_Anc_8.381	ZROU_ZYRO0C03916g	TDEL_TDEL0F05050	KLAC_KLLA0D18194g	EGOS_AGL133W	ECYM_Ecym_4186	LKLU_SAKL0H14058g	LTHE_KLTH0F08844g	LWAL_Kwal_23.3327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EGOS_AGL142C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1024.19	TPHA_TPHA0C02420	TBLA_TBLA0H00980	NDAI_NDAI0A01110	NCAS_NCAS0B03100	KNAG_KNAG0A04750	KAFR_KAFR0B06110	CGLA_CAGL0F05775g	NA	SMIKIFO1815_Smik_4.430	SCERREF_YDR181C	ANC_Anc_8.382	ZROU_ZYRO0C03938g	TDEL_TDEL0F05060	KLAC_KLLA0D18216g	EGOS_AGL132C	ECYM_Ecym_4185	LKLU_SAKL0H14036g	LTHE_KLTH0F08822g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_9.18	SMIKIFO1815_Smik_9.3	SCERREF_YIL166C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NCAS_NCAS0D01410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1030.6	TPHA_TPHA0L00890	TBLA_TBLA0H03170	NDAI_NDAI0A01100	NCAS_NCAS0B03090	KNAG_KNAG0A04740	KAFR_KAFR0B06120	CGLA_CAGL0F05753g	SUVACBS7001_Suva_2.349	SMIKIFO1815_Smik_4.431	SCERREF_YDR182W	ANC_Anc_8.383	ZROU_ZYRO0C03960g	TDEL_TDEL0F05070	KLAC_KLLA0D18238g	EGOS_AGL131W	ECYM_Ecym_4184	LKLU_SAKL0H13992g	LTHE_KLTH0F08800g	LWAL_Kwal_23.3319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	CGLA_CAGL0E00363g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	CGLA_CAGL0H06853g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
